// This file was decompiled using SASCM.ini published on 2021-01-30
DEFINE OBJECTS 127
DEFINE OBJECT SANNY BUILDER 3.7.0     
DEFINE OBJECT MICRO_UZI                // Object number -1
014B: $9468 = init_car_generator -67 color 1 47 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 1371.073 -2213.656 13.9401 angle 269.3398 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -66 color 1 19 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 1550.207 -2364.998 13.9589 angle 180.3584 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -66 color 15 0 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 1535.471 -2356.357 13.9562 angle 359.6753 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -66 color 15 42 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 1517.933 -2355.947 13.9467 angle 0.113 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -67 color 16 5 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 1511.511 -2355.242 13.9332 angle 359.9434 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -67 color 27 74 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 1509.551 -2365.728 13.9411 angle 179.1028 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -67 color 74 46 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 1491.621 -2356.446 13.9388 angle 0.1141 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -66 color 6 1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at -1988.268 111.4351 27.539 angle 359.7319 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -67 color 16 2 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at -1988.133 131.9499 27.539 angle 1.0584 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -67 color 85 24 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at -1988.108 168.5165 27.539 angle 0.3926 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -59 color 6 6 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at -1993.999 99.9594 27.539 angle 270.4025 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -60 color 6 6 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at -1993.999 148.8172 27.539 angle 359.9774 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -60 color 6 6 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at -1993.987 168.2421 27.539 angle 359.9774 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -59 color 6 6 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at -1989.5 195.512 27.539 angle 40.7662 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -60 color 6 6 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at -1994.763 195.4953 27.539 angle 26.9964 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -65 color 3 1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at -2020.703 92.8406 27.9573 angle 273.4761 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -65 color 3 1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at -2020.445 83.6936 27.9328 angle 268.4902 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -64 color 3 1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at -2059.35 52.6899 28.4187 angle 271.5885 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -64 color 3 1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at -2066.68 89.0927 28.3906 angle 178.6843 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -64 color 3 1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at -2066.56 70.824 28.3906 angle 180.9168 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -65 color 3 1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at -2053.176 83.7815 28.3977 angle 91.001 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -65 color 3 1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at -2053.582 92.6391 28.3906 angle 90.1784 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -59 color 6 6 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at -2404.217 339.3148 34.9755 angle 145.5647 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -60 color 6 6 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at -2423.482 318.8434 34.9687 angle 155.7873 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -61 color 1 3 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at -2677.16 593.9185 14.5132 angle 272.2051 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -61 color 1 3 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at -2667.506 594.2907 14.5152 angle 272.2025 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -61 color 1 3 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at -2659.084 594.6142 14.5134 angle 272.2015 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -61 color 1 3 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at -2649.535 594.9789 14.5234 angle 271.2809 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -68 color 0 1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at -1576.542 672.9167 7.1901 angle 0.8108 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -68 color 0 1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at -1582.779 673.3577 7.1875 angle 358.4216 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -68 color 0 1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at -1594.389 672.8189 7.1875 angle 178.4608 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -30 color 0 1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at -1605.263 652.912 7.1875 angle 357.3015 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -30 color 0 1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at -1616.883 653.093 7.1875 angle 0.2666 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -30 color 0 1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at -1622.518 653.5495 7.1875 angle 0.2666 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -62 color 0 1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at -1628.62 653.6793 7.1875 angle 1.4024 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -62 color 0 1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at -1612.097 672.8098 7.1875 angle 0.1765 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -63 color 0 1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at -1605.78 672.9011 7.1875 angle 180.1765 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -63 color 0 1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at -1575.834 651.8298 7.1875 angle 359.3032 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -20 color 1 1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at -1599.446 285.8595 7.1875 angle 31.6617 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -20 color 1 1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at -1609.54 286.0788 7.1818 angle 21.6741 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -21 color 1 1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at -1618.044 286.032 7.1818 angle 13.9974 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -17 color 1 1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at -1332.512 443.3117 7.1875 angle 357.6805 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -26 color 1 1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at -1269.881 445.3138 7.1809 angle 220.9091 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -26 color 1 1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at -1277.312 445.029 7.1809 angle 218.3633 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -26 color 1 1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at -1284.2 443.6176 7.1809 angle 218.3633 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -29 color 1 1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at -1291.736 444.4543 7.1809 angle 218.3633 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -29 color 1 1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at -1298.508 443.6179 7.1875 angle 218.3633 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -61 color 1 3 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at -1530.857 2533.838 55.6875 angle 355.9683 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -61 color 1 3 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at -1501.765 2535.693 55.6875 angle 89.7499 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -61 color 1 3 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at -1531.394 2522.095 55.9194 angle 2.5641 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -61 color 1 3 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at -292.4694 1012.73 19.6462 angle 358.2681 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -61 color 1 3 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at -292.5451 1023.969 19.654 angle 0.5035 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -61 color 1 3 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at -292.6606 1037.137 19.661 angle 0.5017 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -62 color 0 1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at -227.8269 992.5827 19.4634 angle 183.0739 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -62 color 0 1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at -1401.348 2631.675 55.7517 angle 272.4408 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -62 color 0 1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at -1401.304 2634.335 55.7224 angle 272.5192 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -62 color 0 1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at -222.0158 992.09 19.4927 angle 183.8548 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -62 color 0 1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at -211.3282 1000.052 19.6036 angle 268.1123 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -62 color 0 1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at -210.6527 994.2573 19.4875 angle 272.108 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -62 color 0 1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at -209.1721 986.0582 19.3152 angle 182.5462 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -29 color 0 1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 300.3961 1860.556 18.1938 angle 269.1602 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -29 color 0 1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 300.6435 1866.301 18.1633 angle 269.1599 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -29 color 0 1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 300.7103 1873.79 18.2815 angle 269.1594 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -29 color 0 1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 301.3802 1882.727 18.2269 angle 269.1597 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -29 color 0 1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 301.7741 1891.433 18.1516 angle 269.1609 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -69 color 0 0 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 300.1971 1896.681 17.6475 angle 270.4899 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -69 color 0 0 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 300.5613 1902.367 17.7026 angle 270.49 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -70 color 2 2 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 299.7726 1910.987 17.5816 angle 270.49 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -70 color 2 2 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 299.7319 1916.67 17.631 angle 270.498 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -60 color 6 6 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 1410.417 2609.592 10.3899 angle 90.2596 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -59 color 6 6 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 1447.596 2668.2 10.3901 angle 269.9769 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -59 color 6 6 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 1459.246 2667.594 10.5209 angle 257.8697 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -67 color 14 32 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 1482.505 2677.222 10.5175 angle 298.2028 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -67 color 45 22 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 1483.231 2671.442 10.518 angle 290.1919 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -71 color 0 1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 2274.976 2425.415 10.8203 angle 359.9988 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -62 color 0 1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 2295.618 2425.742 10.8203 angle 357.1787 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -63 color 0 1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 2304.019 2435.039 10.8203 angle 66.191 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -63 color 0 1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 2303.894 2437.109 10.8203 angle 52.8117 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -63 color 0 1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 2305.522 2444.13 10.8203 angle 60.6059 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -63 color 0 1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 2305.353 2448.971 10.8203 angle 61.7026 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -46 color 2 2 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 2225.353 2457.728 -7.4531 angle 270.4319 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -46 color 2 2 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 298.8527 1798.526 17.6406 angle 5.1535 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -46 color 2 2 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 304.6342 1799.217 17.6406 angle 3.7043 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -17 color 0 0 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 312.3005 1800.034 17.6406 angle 2.7643 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -72 color 1 1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 624.5303 822.7878 -42.9609 angle 29.6643 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -72 color 1 1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 628.8294 846.0132 -42.9609 angle 26.5309 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -61 color 1 3 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 1582.253 1744.628 10.8814 angle 90.8922 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -61 color 1 3 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 1578.203 1756.911 10.8754 angle 2.1615 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -61 color 1 3 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 1582.94 1807.176 10.8818 angle 358.5781 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -61 color 1 3 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 1591.528 1820.743 10.8742 angle 0.5197 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -61 color 1 3 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 1623.155 1819.484 10.878 angle 359.9959 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -61 color 1 3 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 1627.347 1819.094 10.8794 angle 1.9173 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -61 color 1 3 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 1631.113 1804.071 10.8817 angle 354.2142 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -65 color 3 1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 1734.369 2078.124 11.393 angle 219.2006 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -65 color 3 1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 1743.106 2077.37 11.3899 angle 220.3152 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -64 color 3 1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 1750.313 2076.552 11.4729 angle 220.3153 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -64 color 3 1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 1770.489 2073.167 11.3862 angle 179.1004 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -73 color -1 -1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at -2038.726 135.3499 28.8359 angle 270.0 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -74 color 16 16 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at -2032.67 157.5533 33.9382 angle 270.0 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator 470 color 16 16 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at -2026.66 178.223 28.8359 angle 270.0 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -30 color -1 -1 force_spawn 1 alarm 0 door_lock 1 min_delay 0 max_delay 10000 at 1786.691 789.0 10.0 angle 270.0 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -30 color -1 -1 force_spawn 1 alarm 0 door_lock 1 min_delay 0 max_delay 10000 at 1804.563 789.0 10.0 angle 270.0 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
04F8: define_police_trigger_type 3 if_player_with_wanted_level_in_rectangle 2435.2 -1741.0 2454.9 -1723.4 spawn_policeA_at 2481.0 -1707.0 headed_towards 2480.0 -1732.0 spawn_policeB_at 2481.0 -1707.0 headed_towards 2480.0 -1732.0 
04F8: define_police_trigger_type 2 if_player_with_wanted_level_in_rectangle 2680.6 -1665.8 2702.2 -1647.8 spawn_policeA_at 2724.7 -1610.1 headed_towards 2727.2 -1656.9 spawn_policeB_at 2724.0 -1610.0 headed_towards 2727.0 -1656.0 
04F8: define_police_trigger_type 4 if_player_with_wanted_level_in_rectangle 2878.4 -1972.5 2869.7 -1954.9 spawn_policeA_at 2890.0 -1912.0 headed_towards 2877.0 -1962.0 spawn_policeB_at 2893.0 -2007.0 headed_towards 2881.0 -1970.0 
